,Zeit,Weseler Straße (gesamt),Weseler Straße FR stadteinwärts,Weseler Straße FR stadtauswärts,Wetter,Temperatur (°C),Luftfeuchtigkeit (%),Gefühlte Temperatur (°C),Regen (mm),Wind (km/h)
,1. Jan. 2018 00:00,19,11,8,Leichter Regenfall,10,83,6,1,26
,1. Jan. 2018 01:00,35,19,16,Leichter Regenfall,9,81,5,1,27
,1. Jan. 2018 02:00,49,28,21,Mäßiger Regenfall,9,79,5,1,29
,1. Jan. 2018 03:00,37,20,17,Mäßiger Regenfall,8,77,4,0,31
,1. Jan. 2018 04:00,24,13,11,Mäßiger Regenfall,8,75,4,0,32
,1. Jan. 2018 05:00,11,6,5,Stellenweiser Regenfall,8,74,3,0,33
,1. Jan. 2018 06:00,6,3,3,Stellenweiser Regenfall,8,72,3,0,35
,1. Jan. 2018 07:00,6,3,3,Stellenweiser Regenfall,7,73,3,0,33
,1. Jan. 2018 08:00,10,5,5,Bedeckt,7,73,3,0,32
,1. Jan. 2018 09:00,15,8,7,Bedeckt,7,73,2,0,30
,1. Jan. 2018 10:00,8,4,4,Bedeckt,7,72,3,0,30
,1. Jan. 2018 11:00,36,20,16,Stellenweiser Regenfall,7,72,3,0,30
,1. Jan. 2018 12:00,40,22,18,Stellenweiser Regenfall,7,72,3,0,30
,1. Jan. 2018 13:00,36,20,16,Stellenweiser Regenfall,7,72,3,0,27
,1. Jan. 2018 14:00,44,25,19,Bedeckt,7,72,4,0,24
,1. Jan. 2018 15:00,44,25,19,Bedeckt,7,72,4,0,21
,1. Jan. 2018 16:00,49,28,21,Bedeckt,7,75,4,0,19
,1. Jan. 2018 17:00,49,28,21,Stellenweiser Regenfall,6,77,4,0,16
,1. Jan. 2018 18:00,28,15,13,Stellenweiser Regenfall,6,79,3,0,14
,1. Jan. 2018 19:00,35,20,15,Stellenweiser Regenfall,6,82,4,1,12
,1. Jan. 2018 20:00,29,16,13,Bedeckt,6,86,4,1,10
,1. Jan. 2018 21:00,10,5,5,Bedeckt,6,89,4,2,8
,1. Jan. 2018 22:00,6,3,3,Bedeckt,5,89,3,2,12
,1. Jan. 2018 23:00,6,3,3,Starker Regenfall,5,89,3,3,15
,2. Jan. 2018 00:00,6,3,3,Starker Regenfall,5,90,2,3,18
,2. Jan. 2018 01:00,6,3,3,Starker Regenfall,5,90,2,3,19
,2. Jan. 2018 02:00,2,1,1,Starker Regenfall,5,90,1,2,20
,2. Jan. 2018 03:00,0,0,0,Starker Regenfall,5,90,1,2,21
,2. Jan. 2018 04:00,8,4,4,Starker Regenfall,5,91,1,1,19
,2. Jan. 2018 05:00,20,11,9,Leichter Regenfall,4,91,1,1,18
,2. Jan. 2018 06:00,41,23,18,Leichter Regenfall,4,92,0,1,17
,2. Jan. 2018 07:00,106,62,44,Leichter Regenfall,4,92,0,1,18
,2. Jan. 2018 08:00,122,72,50,Mäßiger Regenfall,4,92,0,0,18
,2. Jan. 2018 09:00,114,67,47,Mäßiger Regenfall,4,92,0,0,18
,2. Jan. 2018 10:00,129,76,53,Mäßiger Regenfall,4,89,1,0,19
,2. Jan. 2018 11:00,112,66,46,Bedeckt,5,85,1,0,21
,2. Jan. 2018 12:00,114,67,47,Bedeckt,5,82,2,0,22
,2. Jan. 2018 13:00,109,63,46,Bedeckt,6,81,2,0,21
,2. Jan. 2018 14:00,140,82,58,Bedeckt,6,80,2,0,21
,2. Jan. 2018 15:00,162,95,67,Bedeckt,6,79,2,0,21
,2. Jan. 2018 16:00,230,136,94,Bedeckt,6,79,2,0,20
,2. Jan. 2018 17:00,217,128,89,Stellenweiser Regenfall,5,79,2,0,20
,2. Jan. 2018 18:00,145,85,60,Stellenweiser Regenfall,5,79,1,0,19
,2. Jan. 2018 19:00,103,60,43,Stellenweiser Regenfall,4,80,1,0,21
,2. Jan. 2018 20:00,55,31,24,Bedeckt,3,80,1,0,22
,2. Jan. 2018 21:00,48,27,21,Bedeckt,2,80,1,0,24
,2. Jan. 2018 22:00,33,18,15,Bedeckt,3,82,1,0,25
,2. Jan. 2018 23:00,24,13,11,Leichter Regenfall,4,83,2,1,27
,3. Jan. 2018 00:00,4,2,2,Leichter Regenfall,6,85,3,1,28
,3. Jan. 2018 01:00,6,3,3,Leichter Regenfall,6,86,3,1,29
,3. Jan. 2018 02:00,0,0,0,Mäßiger Regenfall,7,86,4,1,30
,3. Jan. 2018 03:00,2,1,1,Mäßiger Regenfall,8,87,4,2,31
,3. Jan. 2018 04:00,8,4,4,Mäßiger Regenfall,9,86,4,2,34
,3. Jan. 2018 05:00,20,11,9,Mäßiger Regenfall,9,85,5,3,37
,3. Jan. 2018 06:00,39,22,17,Mäßiger Regenfall,9,85,5,3,40
,3. Jan. 2018 07:00,96,56,40,Mäßiger Regenfall,9,82,5,2,40
,3. Jan. 2018 08:00,147,86,61,Starker Regenfall,9,78,4,2,40
,3. Jan. 2018 09:00,114,67,47,Starker Regenfall,8,75,4,1,40
,3. Jan. 2018 10:00,111,65,46,Starker Regenfall,8,74,3,1,41
,3. Jan. 2018 11:00,115,67,48,Leichter Regenschauer,8,72,3,1,43
,3. Jan. 2018 12:00,53,30,23,Leichter Regenschauer,7,70,2,0,45
,3. Jan. 2018 13:00,52,30,22,Leichter Regenschauer,7,72,2,1,46
,3. Jan. 2018 14:00,72,42,30,Leichter Regenschauer,7,73,2,1,47
,3. Jan. 2018 15:00,111,65,46,Leichter Regenschauer,7,74,2,1,48
,3. Jan. 2018 16:00,141,83,58,Leichter Regenschauer,6,75,2,1,46
,3. Jan. 2018 17:00,146,85,61,Mäßiger Regenfall,6,75,3,1,45
,3. Jan. 2018 18:00,119,69,50,Mäßiger Regenfall,5,76,3,2,44
,3. Jan. 2018 19:00,72,41,31,Mäßiger Regenfall,4,76,3,1,43
,3. Jan. 2018 20:00,64,37,27,Mäßiger bis starker Regen mit Gewitter,3,75,3,1,42
,3. Jan. 2018 21:00,38,21,17,Mäßiger bis starker Regen mit Gewitter,3,75,3,1,41
,3. Jan. 2018 22:00,15,8,7,Mäßiger bis starker Regen mit Gewitter,4,75,2,1,41
,3. Jan. 2018 23:00,18,9,9,Leichter Regenschauer,4,75,2,1,41
,4. Jan. 2018 00:00,6,3,3,Leichter Regenschauer,5,75,2,1,40
,4. Jan. 2018 01:00,6,3,3,Leichter Regenschauer,6,76,2,0,38
,4. Jan. 2018 02:00,2,1,1,Leichter Regenschauer,6,77,2,0,36
,4. Jan. 2018 03:00,0,0,0,Leichter Regenschauer,7,78,2,0,35
,4. Jan. 2018 04:00,12,6,6,Leichter Regenschauer,7,79,2,0,32
,4. Jan. 2018 05:00,15,8,7,Nieselregen,6,80,2,0,30
,4. Jan. 2018 06:00,62,35,27,Nieselregen,6,81,2,0,28
,4. Jan. 2018 07:00,125,73,52,Nieselregen,6,82,2,0,26
,4. Jan. 2018 08:00,165,96,69,Leichter Regenschauer,6,83,2,0,24
,4. Jan. 2018 09:00,112,65,47,Leichter Regenschauer,6,85,2,0,23
,4. Jan. 2018 10:00,127,75,52,Leichter Regenschauer,6,85,2,0,21
,4. Jan. 2018 11:00,111,65,46,Bedeckt,6,86,3,0,20
,4. Jan. 2018 12:00,89,52,37,Bedeckt,7,86,3,0,18
,4. Jan. 2018 13:00,140,82,58,Bedeckt,7,88,4,0,16
,4. Jan. 2018 14:00,120,70,50,Bedeckt,7,90,4,0,15
,4. Jan. 2018 15:00,177,104,73,Bedeckt,7,91,4,0,13
,4. Jan. 2018 16:00,241,142,99,Bedeckt,6,91,4,0,16
,4. Jan. 2018 17:00,217,128,89,Leichter Regenfall,5,91,4,0,19
,4. Jan. 2018 18:00,127,74,53,Leichter Regenfall,5,91,4,1,22
,4. Jan. 2018 19:00,87,51,36,Leichter Regenfall,3,87,3,1,25
,4. Jan. 2018 20:00,74,43,31,Stellenweiser leichter Regenfall,2,84,2,0,28
,4. Jan. 2018 21:00,40,22,18,Stellenweiser leichter Regenfall,1,81,1,0,32
,4. Jan. 2018 22:00,23,12,11,Stellenweiser leichter Regenfall,2,79,1,0,32
,4. Jan. 2018 23:00,34,19,15,Leichter Regenschauer,3,77,1,0,33
,5. Jan. 2018 00:00,10,5,5,Leichter Regenschauer,4,75,1,0,34
,5. Jan. 2018 01:00,8,4,4,Leichter Regenschauer,5,75,1,0,33
,5. Jan. 2018 02:00,4,2,2,Leichter Regenschauer,6,76,2,0,31
,5. Jan. 2018 03:00,4,2,2,Leichter Regenschauer,7,76,2,0,30
,5. Jan. 2018 04:00,11,6,5,Leichter Regenschauer,7,78,3,0,30
,5. Jan. 2018 05:00,14,7,7,Leicht bewölkt,7,80,3,0,30
,5. Jan. 2018 06:00,54,31,23,Leicht bewölkt,8,82,4,0,30
,5. Jan. 2018 07:00,152,89,63,Leicht bewölkt,8,82,4,0,29
,5. Jan. 2018 08:00,157,92,65,Leichter Regenfall,8,82,4,0,29
,5. Jan. 2018 09:00,145,85,60,Leichter Regenfall,8,82,4,0,28
,5. Jan. 2018 10:00,143,84,59,Leichter Regenfall,8,81,4,0,27
,5. Jan. 2018 11:00,120,70,50,Leichter Regenfall,8,79,4,0,26
,5. Jan. 2018 12:00,134,78,56,Leichter Regenfall,8,77,5,0,25
,5. Jan. 2018 13:00,211,124,87,Leichter Regenfall,8,76,5,0,22
,5. Jan. 2018 14:00,209,123,86,Leichter Regenschauer,8,76,5,0,19
,5. Jan. 2018 15:00,183,107,76,Leichter Regenschauer,8,76,5,0,17
,5. Jan. 2018 16:00,184,108,76,Leichter Regenschauer,7,78,5,0,15
,5. Jan. 2018 17:00,195,115,80,Leicht bewölkt,7,80,5,0,14
,5. Jan. 2018 18:00,162,95,67,Leicht bewölkt,7,82,4,0,12
,5. Jan. 2018 19:00,143,84,59,Leicht bewölkt,6,84,4,0,13
,5. Jan. 2018 20:00,94,55,39,Bedeckt,6,85,4,0,15
,5. Jan. 2018 21:00,59,34,25,Bedeckt,5,87,4,0,16
,5. Jan. 2018 22:00,53,30,23,Bedeckt,5,87,4,0,16
,5. Jan. 2018 23:00,29,16,13,Stellenweiser leichter Regenfall,5,88,4,0,16
,6. Jan. 2018 00:00,23,12,11,Stellenweiser leichter Regenfall,5,89,3,0,16
,6. Jan. 2018 01:00,32,18,14,Stellenweiser leichter Regenfall,5,90,3,0,15
,6. Jan. 2018 02:00,10,5,5,Stellenweiser Regenfall,5,90,2,0,15
,6. Jan. 2018 03:00,12,6,6,Stellenweiser Regenfall,5,90,2,0,14
,6. Jan. 2018 04:00,8,4,4,Stellenweiser Regenfall,4,91,1,0,14
,6. Jan. 2018 05:00,4,2,2,Leicht bewölkt,4,91,1,0,13
,6. Jan. 2018 06:00,6,3,3,Leicht bewölkt,4,91,1,0,13
,6. Jan. 2018 07:00,24,13,11,Leicht bewölkt,4,90,1,0,12
,6. Jan. 2018 08:00,43,24,19,Leicht bewölkt,4,90,1,0,11
,6. Jan. 2018 09:00,140,82,58,Leicht bewölkt,4,89,1,0,10
,6. Jan. 2018 10:00,157,92,65,Leicht bewölkt,4,87,2,0,9
,6. Jan. 2018 11:00,146,86,60,Bewölkt,5,84,3,0,8
,6. Jan. 2018 12:00,197,116,81,Bewölkt,6,82,4,0,7
,6. Jan. 2018 13:00,177,104,73,Bewölkt,6,83,4,0,6
,6. Jan. 2018 14:00,166,97,69,Bedeckt,6,83,5,0,6
,6. Jan. 2018 15:00,157,92,65,Bedeckt,6,84,5,0,6
,6. Jan. 2018 16:00,128,75,53,Bedeckt,6,86,4,0,6
,6. Jan. 2018 17:00,122,71,51,Stellenweiser Regenfall,5,88,4,0,7
,6. Jan. 2018 18:00,116,68,48,Stellenweiser Regenfall,5,91,3,0,8
,6. Jan. 2018 19:00,107,62,45,Stellenweiser Regenfall,5,91,3,0,10
,6. Jan. 2018 20:00,104,61,43,Bewölkt,5,92,2,0,12
,6. Jan. 2018 21:00,60,34,26,Bewölkt,5,92,1,0,14
,6. Jan. 2018 22:00,36,20,16,Bewölkt,4,91,1,0,17
,6. Jan. 2018 23:00,29,16,13,Nieselregen,4,90,0,0,19
,7. Jan. 2018 00:00,21,11,10,Nieselregen,4,89,0,0,22
,7. Jan. 2018 01:00,36,20,16,Nieselregen,4,87,-1,0,22
,7. Jan. 2018 02:00,24,13,11,Leichter Regenfall,3,86,-1,0,23
,7. Jan. 2018 03:00,17,9,8,Leichter Regenfall,3,85,-2,0,24
,7. Jan. 2018 04:00,11,6,5,Leichter Regenfall,3,84,-2,0,24
,7. Jan. 2018 05:00,4,2,2,Leichter Eisregen,3,83,-3,0,24
,7. Jan. 2018 06:00,6,3,3,Leichter Eisregen,2,82,-3,0,24
,7. Jan. 2018 07:00,6,3,3,Leichter Eisregen,2,80,-3,0,24
,7. Jan. 2018 08:00,10,5,5,Bewölkt,2,78,-3,0,25
,7. Jan. 2018 09:00,79,46,33,Bewölkt,2,77,-4,0,25
,7. Jan. 2018 10:00,51,29,22,Bewölkt,2,75,-4,0,26
,7. Jan. 2018 11:00,96,56,40,Leicht bewölkt,2,73,-3,0,26
,7. Jan. 2018 12:00,64,37,27,Leicht bewölkt,2,72,-3,0,27
,7. Jan. 2018 13:00,105,61,44,Leicht bewölkt,2,72,-3,0,26
,7. Jan. 2018 14:00,96,56,40,Leicht bewölkt,2,72,-3,0,25
,7. Jan. 2018 15:00,101,58,43,Leicht bewölkt,2,72,-3,0,25
,7. Jan. 2018 16:00,93,54,39,Leicht bewölkt,2,73,-4,0,24
,7. Jan. 2018 17:00,85,49,36,Leicht bewölkt,1,73,-4,0,24
,7. Jan. 2018 18:00,82,48,34,Leicht bewölkt,1,74,-5,0,24
,7. Jan. 2018 19:00,65,37,28,Leicht bewölkt,1,75,-5,0,24
,7. Jan. 2018 20:00,58,33,25,Leicht bewölkt,0,76,-5,0,24
,7. Jan. 2018 21:00,24,12,12,Leicht bewölkt,0,76,-6,0,24
,7. Jan. 2018 22:00,13,7,6,Leicht bewölkt,0,76,-6,0,25
,7. Jan. 2018 23:00,10,5,5,Leicht bewölkt,0,76,-6,0,25
,8. Jan. 2018 00:00,18,9,9,Leicht bewölkt,0,76,-6,0,25
,8. Jan. 2018 01:00,2,1,1,Leicht bewölkt,0,75,-6,0,25
,8. Jan. 2018 02:00,2,1,1,Leicht bewölkt,0,74,-6,0,25
,8. Jan. 2018 03:00,2,1,1,Leicht bewölkt,0,73,-6,0,25
,8. Jan. 2018 04:00,10,5,5,Leicht bewölkt,0,72,-6,0,25
,8. Jan. 2018 05:00,6,3,3,Leicht bewölkt,0,71,-6,0,24
,8. Jan. 2018 06:00,78,45,33,Leicht bewölkt,0,70,-6,0,24
,8. Jan. 2018 07:00,384,227,157,Leicht bewölkt,0,69,-5,0,24
,8. Jan. 2018 08:00,290,171,119,Leicht bewölkt,1,68,-5,0,24
,8. Jan. 2018 09:00,234,137,97,Leicht bewölkt,1,67,-5,0,24
,8. Jan. 2018 10:00,186,109,77,Leicht bewölkt,2,65,-4,0,25
,8. Jan. 2018 11:00,157,92,65,Leicht bewölkt,2,63,-3,0,26
,8. Jan. 2018 12:00,178,104,74,Leicht bewölkt,3,61,-2,0,26
,8. Jan. 2018 13:00,162,95,67,Leicht bewölkt,3,61,-2,0,26
,8. Jan. 2018 14:00,195,115,80,Leicht bewölkt,3,62,-2,0,25
,8. Jan. 2018 15:00,262,155,107,Leicht bewölkt,3,62,-2,0,25
,8. Jan. 2018 16:00,320,189,131,Leicht bewölkt,3,65,-2,0,24
,8. Jan. 2018 17:00,362,214,148,Leicht bewölkt,3,67,-3,0,24
,8. Jan. 2018 18:00,255,150,105,Leicht bewölkt,2,70,-3,0,24
,8. Jan. 2018 19:00,160,94,66,Leicht bewölkt,1,72,-3,0,23
,8. Jan. 2018 20:00,125,73,52,Leicht bewölkt,0,74,-3,0,23
,8. Jan. 2018 21:00,86,50,36,Leicht bewölkt,-1,77,-3,0,23
,8. Jan. 2018 22:00,31,17,14,Leicht bewölkt,-1,78,-3,0,22
,8. Jan. 2018 23:00,27,14,13,Leicht bewölkt,0,79,-3,0,22
,9. Jan. 2018 00:00,13,7,6,Leicht bewölkt,1,80,-3,0,22
,9. Jan. 2018 01:00,6,3,3,Leicht bewölkt,1,81,-3,0,22
,9. Jan. 2018 02:00,8,4,4,Leicht bewölkt,1,81,-3,0,21
,9. Jan. 2018 03:00,0,0,0,Leicht bewölkt,2,82,-3,0,21
,9. Jan. 2018 04:00,12,6,6,Leicht bewölkt,2,82,-3,0,21
,9. Jan. 2018 05:00,11,6,5,Leicht bewölkt,2,83,-3,0,21
,9. Jan. 2018 06:00,95,55,40,Leicht bewölkt,2,84,-3,0,20
,9. Jan. 2018 07:00,443,262,181,Leicht bewölkt,2,84,-3,0,19
,9. Jan. 2018 08:00,261,154,107,Leicht bewölkt,2,85,-3,0,18
,9. Jan. 2018 09:00,242,142,100,Leicht bewölkt,2,85,-2,0,17
,9. Jan. 2018 10:00,179,106,73,Leicht bewölkt,3,83,-1,0,16
,9. Jan. 2018 11:00,159,93,66,Leicht bewölkt,4,81,1,0,15
,9. Jan. 2018 12:00,169,99,70,Leicht bewölkt,5,79,2,0,14
,9. Jan. 2018 13:00,184,108,76,Leicht bewölkt,5,80,2,0,13
,9. Jan. 2018 14:00,208,122,86,Leicht bewölkt,5,82,3,0,12
,9. Jan. 2018 15:00,248,146,102,Leicht bewölkt,5,83,3,0,11
,9. Jan. 2018 16:00,341,201,140,Leicht bewölkt,5,85,3,0,10
,9. Jan. 2018 17:00,378,224,154,Leicht bewölkt,5,87,3,0,10
,9. Jan. 2018 18:00,217,127,90,Leicht bewölkt,5,89,3,0,10
,9. Jan. 2018 19:00,189,111,78,Leicht bewölkt,5,90,2,0,10
,9. Jan. 2018 20:00,166,98,68,Leichter Regenschauer,5,90,2,0,11
,9. Jan. 2018 21:00,62,36,26,Leichter Regenschauer,4,91,2,0,12
,9. Jan. 2018 22:00,41,23,18,Leichter Regenschauer,4,91,1,0,12
,9. Jan. 2018 23:00,27,15,12,Leicht bewölkt,4,91,1,0,12
,10. Jan. 2018 00:00,14,7,7,Leicht bewölkt,4,91,1,0,12
,10. Jan. 2018 01:00,8,4,4,Leicht bewölkt,4,92,1,0,11
,10. Jan. 2018 02:00,2,1,1,Bewölkt,4,92,1,0,11
,10. Jan. 2018 03:00,2,1,1,Bewölkt,4,92,1,0,10
,10. Jan. 2018 04:00,10,5,5,Bewölkt,4,92,2,0,10
,10. Jan. 2018 05:00,19,10,9,Bewölkt,4,92,2,0,10
,10. Jan. 2018 06:00,85,50,35,Bewölkt,5,92,2,0,10
,10. Jan. 2018 07:00,415,245,170,Bewölkt,5,92,2,0,10
,10. Jan. 2018 08:00,324,191,133,Bedeckt,5,92,2,0,10
,10. Jan. 2018 09:00,263,155,108,Bedeckt,5,92,2,0,11
,10. Jan. 2018 10:00,219,129,90,Bedeckt,6,89,3,0,12
,10. Jan. 2018 11:00,166,98,68,Bewölkt,6,86,4,0,12
,10. Jan. 2018 12:00,174,103,71,Bewölkt,7,83,4,0,13
,10. Jan. 2018 13:00,234,138,96,Bewölkt,7,81,5,0,12
,10. Jan. 2018 14:00,186,110,76,Bedeckt,7,80,5,0,11
,10. Jan. 2018 15:00,253,149,104,Bedeckt,7,79,6,0,10
,10. Jan. 2018 16:00,306,181,125,Bedeckt,7,80,5,0,10
,10. Jan. 2018 17:00,350,207,143,Leicht bewölkt,6,82,4,0,10
,10. Jan. 2018 18:00,229,135,94,Leicht bewölkt,6,84,3,0,10
,10. Jan. 2018 19:00,202,119,83,Leicht bewölkt,5,86,3,0,10
,10. Jan. 2018 20:00,160,94,66,Bewölkt,5,88,2,0,10
,10. Jan. 2018 21:00,104,61,43,Bewölkt,4,90,2,0,10
,10. Jan. 2018 22:00,70,41,29,Bewölkt,4,90,2,0,9
,10. Jan. 2018 23:00,48,28,20,Leicht bewölkt,4,91,2,0,8
,11. Jan. 2018 00:00,14,7,7,Leicht bewölkt,4,92,2,0,8
,11. Jan. 2018 01:00,12,6,6,Leicht bewölkt,3,92,2,0,7
,11. Jan. 2018 02:00,8,4,4,Bedeckt,3,92,2,0,6
,11. Jan. 2018 03:00,4,2,2,Bedeckt,3,92,2,0,5
,11. Jan. 2018 04:00,10,5,5,Bedeckt,3,92,2,0,5
,11. Jan. 2018 05:00,18,10,8,Bewölkt,3,92,2,0,4
,11. Jan. 2018 06:00,85,49,36,Bewölkt,3,92,3,0,4
,11. Jan. 2018 07:00,388,229,159,Bewölkt,3,92,3,0,4
,11. Jan. 2018 08:00,341,201,140,Bewölkt,3,92,3,0,3
,11. Jan. 2018 09:00,241,142,99,Bewölkt,4,92,4,0,3
,11. Jan. 2018 10:00,178,104,74,Bewölkt,4,90,4,0,3
,11. Jan. 2018 11:00,166,97,69,Bedeckt,5,88,5,0,4
,11. Jan. 2018 12:00,180,105,75,Bedeckt,6,86,5,0,4
,11. Jan. 2018 13:00,188,110,78,Bedeckt,6,86,5,0,5
,11. Jan. 2018 14:00,266,157,109,Bewölkt,6,87,5,0,5
,11. Jan. 2018 15:00,319,188,131,Bewölkt,6,87,5,0,6
,11. Jan. 2018 16:00,333,196,137,Bewölkt,5,89,4,0,6
,11. Jan. 2018 17:00,368,217,151,Leicht bewölkt,5,91,3,0,6
,11. Jan. 2018 18:00,236,139,97,Leicht bewölkt,4,92,3,0,6
,11. Jan. 2018 19:00,179,105,74,Leicht bewölkt,4,93,2,0,6
,11. Jan. 2018 20:00,136,79,57,Leicht bewölkt,3,94,2,0,5
,11. Jan. 2018 21:00,92,54,38,Leicht bewölkt,3,95,2,0,5
,11. Jan. 2018 22:00,41,23,18,Leicht bewölkt,3,96,1,0,5
,11. Jan. 2018 23:00,36,20,16,Leichter Nebel,3,96,1,0,5
,12. Jan. 2018 00:00,10,5,5,Leichter Nebel,3,97,1,0,5
,12. Jan. 2018 01:00,17,9,8,Leichter Nebel,3,97,2,0,5
,12. Jan. 2018 02:00,4,2,2,Nebel,3,97,2,0,5
,12. Jan. 2018 03:00,4,2,2,Nebel,3,97,2,0,4
,12. Jan. 2018 04:00,11,6,5,Nebel,3,97,2,0,4
,12. Jan. 2018 05:00,24,13,11,Nieselregen,3,97,3,0,3
,12. Jan. 2018 06:00,99,58,41,Nieselregen,3,97,3,0,3
,12. Jan. 2018 07:00,372,220,152,Nieselregen,3,97,3,0,2
,12. Jan. 2018 08:00,279,165,114,Leichter Regenfall,3,96,3,0,2
,12. Jan. 2018 09:00,242,142,100,Leichter Regenfall,3,96,3,0,1
,12. Jan. 2018 10:00,167,98,69,Leichter Regenfall,4,94,4,0,1
,12. Jan. 2018 11:00,185,109,76,Leichter Nebel,4,92,4,0,1
,12. Jan. 2018 12:00,208,122,86,Leichter Nebel,5,90,5,0,1
,12. Jan. 2018 13:00,269,159,110,Leichter Nebel,5,90,5,0,2
,12. Jan. 2018 14:00,265,156,109,Stellenweiser Regenfall,5,89,5,0,3
,12. Jan. 2018 15:00,269,159,110,Stellenweiser Regenfall,5,89,5,0,4
,12. Jan. 2018 16:00,280,165,115,Stellenweiser Regenfall,5,90,4,0,4
,12. Jan. 2018 17:00,248,146,102,Bedeckt,4,91,4,0,5
,12. Jan. 2018 18:00,206,122,84,Bedeckt,4,92,3,0,5
,12. Jan. 2018 19:00,165,97,68,Bedeckt,4,93,3,0,6
,12. Jan. 2018 20:00,135,79,56,Bedeckt,4,94,2,0,6
,12. Jan. 2018 21:00,68,39,29,Bedeckt,4,94,2,0,6
,12. Jan. 2018 22:00,30,16,14,Bedeckt,4,93,2,0,7
,12. Jan. 2018 23:00,39,22,17,Leichter Nebel,3,92,1,0,8
,13. Jan. 2018 00:00,48,27,21,Leichter Nebel,3,92,1,0,8
,13. Jan. 2018 01:00,31,17,14,Leichter Nebel,3,92,1,0,9
,13. Jan. 2018 02:00,27,14,13,Bedeckt,3,93,0,0,10
,13. Jan. 2018 03:00,9,5,4,Bedeckt,2,93,-1,0,10
,13. Jan. 2018 04:00,19,10,9,Bedeckt,2,94,-1,0,11
,13. Jan. 2018 05:00,18,9,9,Leichter Nebel,2,94,-1,0,11
,13. Jan. 2018 06:00,15,8,7,Leichter Nebel,2,95,-2,0,12
,13. Jan. 2018 07:00,31,17,14,Leichter Nebel,2,94,-2,0,12
,13. Jan. 2018 08:00,80,46,34,Leichter Nebel,2,93,-2,0,12
,13. Jan. 2018 09:00,217,128,89,Leichter Nebel,2,92,-2,0,12
,13. Jan. 2018 10:00,163,96,67,Leichter Nebel,3,89,-1,0,13
,13. Jan. 2018 11:00,174,102,72,Leicht bewölkt,4,85,0,0,13
,13. Jan. 2018 12:00,217,128,89,Leicht bewölkt,4,82,1,0,13
,13. Jan. 2018 13:00,188,110,78,Leicht bewölkt,4,81,1,0,13
,13. Jan. 2018 14:00,215,126,89,Leicht bewölkt,5,80,2,0,13
,13. Jan. 2018 15:00,151,88,63,Leicht bewölkt,5,80,2,0,13
,13. Jan. 2018 16:00,149,87,62,Leicht bewölkt,4,81,1,0,14
,13. Jan. 2018 17:00,145,85,60,Leicht bewölkt,4,82,0,0,14
,13. Jan. 2018 18:00,167,98,69,Leicht bewölkt,3,83,0,0,15
,13. Jan. 2018 19:00,126,74,52,Leicht bewölkt,3,83,-1,0,15
,13. Jan. 2018 20:00,129,75,54,Bewölkt,3,83,-1,0,16
,13. Jan. 2018 21:00,61,35,26,Bewölkt,2,82,-2,0,16
,13. Jan. 2018 22:00,61,35,26,Bewölkt,2,83,-2,0,15
,13. Jan. 2018 23:00,61,35,26,Leicht bewölkt,2,83,-2,0,15
,14. Jan. 2018 00:00,44,25,19,Leicht bewölkt,1,84,-3,0,14
,14. Jan. 2018 01:00,61,35,26,Leicht bewölkt,1,84,-3,0,15
,14. Jan. 2018 02:00,11,6,5,Leicht bewölkt,1,85,-4,0,15
,14. Jan. 2018 03:00,8,4,4,Leicht bewölkt,0,85,-4,0,15
,14. Jan. 2018 04:00,15,8,7,Leicht bewölkt,0,84,-4,0,16
,14. Jan. 2018 05:00,8,4,4,Leicht bewölkt,0,84,-5,0,16
,14. Jan. 2018 06:00,10,5,5,Leicht bewölkt,0,83,-5,0,16
,14. Jan. 2018 07:00,14,7,7,Leicht bewölkt,0,81,-5,0,16
,14. Jan. 2018 08:00,24,13,11,Leicht bewölkt,0,78,-5,0,16
,14. Jan. 2018 09:00,78,45,33,Leicht bewölkt,0,76,-5,0,17
,14. Jan. 2018 10:00,100,58,42,Leicht bewölkt,1,73,-4,0,17
,14. Jan. 2018 11:00,91,53,38,Sonnig,2,69,-3,0,17
,14. Jan. 2018 12:00,77,45,32,Sonnig,2,66,-2,0,17
,14. Jan. 2018 13:00,97,57,40,Sonnig,3,67,-1,0,16
,14. Jan. 2018 14:00,150,88,62,Sonnig,3,67,-1,0,15
,14. Jan. 2018 15:00,116,68,48,Sonnig,3,67,-1,0,14
,14. Jan. 2018 16:00,118,69,49,Sonnig,2,70,-1,0,14
,14. Jan. 2018 17:00,110,65,45,Sonnig,2,73,-2,0,14
,14. Jan. 2018 18:00,100,59,41,Sonnig,1,76,-3,0,14
,14. Jan. 2018 19:00,64,37,27,Sonnig,1,77,-3,0,13
,14. Jan. 2018 20:00,47,27,20,Sonnig,0,78,-3,0,12
,14. Jan. 2018 21:00,40,22,18,Sonnig,0,79,-4,0,12
,14. Jan. 2018 22:00,31,17,14,Sonnig,0,78,-4,0,12
,14. Jan. 2018 23:00,18,9,9,Sonnig,0,78,-4,0,12
,15. Jan. 2018 00:00,4,2,2,Sonnig,0,78,-4,0,12
,15. Jan. 2018 01:00,8,4,4,Sonnig,0,78,-4,0,12
,15. Jan. 2018 02:00,8,4,4,Sonnig,0,79,-4,0,13
,15. Jan. 2018 03:00,4,2,2,Sonnig,1,79,-4,0,13
,15. Jan. 2018 04:00,12,6,6,Sonnig,1,80,-3,0,14
